Respondent,Country,AgeGroup,EducationLevel
9945,Russian Federation,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9947,Israel,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9948,Australia,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
9949,Bulgaria,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9953,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9954,Pakistan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9955,United Arab Emirates,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9957,Slovenia,25-34 years old,"Associate degree (A.A., A.S., etc.)"
9960,Belgium,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9962,Australia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9963,Norway,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9964,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9977,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
9982,Slovakia,25-34 years old,Some college/university study without earning a degree
9984,Turkey,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9987,Czech Republic,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9988,Hong Kong (S.A.R.),25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9991,Norway,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9993,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9994,Turkey,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9995,Taiwan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
9997,Germany,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
9998,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
9999,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10002,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10005,Germany,18-24 years old,"Associate degree (A.A., A.S., etc.)"
10014,Turkey,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10023,Kosovo,18-24 years old,Some college/university study without earning a degree
10027,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10028,Turkey,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10029,Italy,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10032,Taiwan,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10034,France,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10037,France,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10040,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10045,Turkey,25-34 years old,Some college/university study without earning a degree
10048,Germany,25-34 years old,Some college/university study without earning a degree
10052,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10053,Germany,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10056,Germany,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10060,Netherlands,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10063,Taiwan,Under 18 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10066,Argentina,25-34 years old,Some college/university study without earning a degree
10072,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10075,Spain,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10079,France,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10082,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10088,United Kingdom of Great Britain and Northern Ireland,25-34 years old,Some college/university study without earning a degree
10091,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10093,Germany,18-24 years old,Something else
10094,Poland,18-24 years old,Some college/university study without earning a degree
10095,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10098,Ukraine,18-24 years old,Some college/university study without earning a degree
10099,Poland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10102,China,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10104,Hong Kong (S.A.R.),35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10106,Italy,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10107,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10108,Switzerland,25-34 years old,"Associate degree (A.A., A.S., etc.)"
10116,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10129,Malaysia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10130,Greece,25-34 years old,Some college/university study without earning a degree
10136,South Africa,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10142,Republic of Korea,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10144,Sweden,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10145,Czech Republic,18-24 years old,Primary/elementary school
10151,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10152,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10155,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10156,United Kingdom of Great Britain and Northern Ireland,35-44 years old,Some college/university study without earning a degree
10157,Romania,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10158,Slovenia,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10161,Romania,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10162,Pakistan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10166,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10168,Canada,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10169,Germany,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10176,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10177,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10178,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10179,Italy,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10181,United Kingdom of Great Britain and Northern Ireland,35-44 years old,Some college/university study without earning a degree
10190,Switzerland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10191,Denmark,18-24 years old,"Associate degree (A.A., A.S., etc.)"
10193,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10194,Switzerland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10197,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10198,Czech Republic,18-24 years old,Some college/university study without earning a degree
10199,Bulgaria,35-44 years old,Some college/university study without earning a degree
10204,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10205,United States of America,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10208,Taiwan,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10210,Singapore,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10211,Belgium,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10213,Italy,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10215,Switzerland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10217,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10219,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10223,Angola,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10227,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10229,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10230,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10235,India,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10236,Italy,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10237,Poland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10238,Viet Nam,25-34 years old,Some college/university study without earning a degree
10241,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10242,Nepal,35-44 years old,Some college/university study without earning a degree
10248,Poland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10254,Bangladesh,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10256,France,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10259,Serbia,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10262,Italy,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10267,Germany,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10269,Turkey,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10272,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10273,Uzbekistan,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10275,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10278,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10281,Spain,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10286,Czech Republic,25-34 years old,Some college/university study without earning a degree
10289,Singapore,25-34 years old,"Associate degree (A.A., A.S., etc.)"
10291,Malaysia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10293,Turkey,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10298,France,45-54 years old,Some college/university study without earning a degree
10302,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10305,"Iran, Islamic Republic of...",25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10308,Italy,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10310,United Kingdom of Great Britain and Northern Ireland,45-54 years old,Some college/university study without earning a degree
10314,Ethiopia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10315,Mauritius,35-44 years old,Some college/university study without earning a degree
10324,Nepal,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10326,Hungary,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10332,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10334,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10336,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10339,Estonia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10340,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10353,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10366,Thailand,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10367,Belgium,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10369,Israel,25-34 years old,Some college/university study without earning a degree
10376,Turkey,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10377,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10379,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10380,Turkey,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10382,Spain,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10383,Turkey,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10390,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10392,"Iran, Islamic Republic of...",18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10394,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10397,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10398,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10400,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10402,United Kingdom of Great Britain and Northern Ireland,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10404,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10405,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10407,Belgium,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10408,Netherlands,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10409,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10414,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10415,Austria,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10418,Italy,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10419,Poland,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10420,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10435,Italy,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10439,Singapore,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10452,Croatia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10454,Norway,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10456,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10461,United States of America,25-34 years old,Some college/university study without earning a degree
10464,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10467,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10474,Bangladesh,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10479,Ukraine,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10481,Hungary,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10486,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10495,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10500,Philippines,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10501,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10503,Netherlands,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10504,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10506,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10507,Bangladesh,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10511,Kenya,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10512,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10515,Spain,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10518,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10522,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10524,France,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10525,Netherlands,25-34 years old,Some college/university study without earning a degree
10526,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10527,Germany,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10529,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10534,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10535,Germany,35-44 years old,Some college/university study without earning a degree
10536,Croatia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10539,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10541,Denmark,35-44 years old,Some college/university study without earning a degree
10542,United Kingdom of Great Britain and Northern Ireland,35-44 years old,Some college/university study without earning a degree
10544,United Kingdom of Great Britain and Northern Ireland,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10546,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10550,Germany,18-24 years old,Some college/university study without earning a degree
10560,Pakistan,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10561,Netherlands,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10563,Sweden,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10565,Sweden,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10568,Italy,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10569,Greece,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10574,Brazil,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10580,Republic of North Macedonia,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10581,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10586,Australia,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10587,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10588,Italy,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10593,Germany,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10596,United States of America,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10597,Côte d'Ivoire,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10599,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10600,Netherlands,35-44 years old,"Associate degree (A.A., A.S., etc.)"
10602,Portugal,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10604,Italy,25-34 years old,Something else
10606,Italy,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10607,Brazil,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10610,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10612,Bangladesh,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10621,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10623,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10624,Belgium,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10626,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10627,Brazil,18-24 years old,"Associate degree (A.A., A.S., etc.)"
10628,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10632,Netherlands,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10634,India,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10636,United States of America,35-44 years old,"Associate degree (A.A., A.S., etc.)"
10642,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10653,Pakistan,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10655,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10658,Ukraine,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10667,Germany,35-44 years old,Some college/university study without earning a degree
10668,Italy,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10672,Tunisia,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10677,Germany,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10678,Croatia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10679,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10681,Georgia,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10683,Australia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10689,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10691,Netherlands,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10699,Ukraine,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10700,Sweden,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10704,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10705,Germany,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10710,Bulgaria,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10712,Greece,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10714,Germany,25-34 years old,Some college/university study without earning a degree
10721,Portugal,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10722,Australia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10727,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10728,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10738,Italy,35-44 years old,Some college/university study without earning a degree
10743,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10744,Brazil,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10746,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10747,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10751,United States of America,18-24 years old,Some college/university study without earning a degree
10753,Bangladesh,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10755,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10761,Ukraine,35-44 years old,Some college/university study without earning a degree
10769,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10771,Australia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10773,Switzerland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10775,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10777,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10779,Germany,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10783,Turkey,18-24 years old,"Associate degree (A.A., A.S., etc.)"
10785,Israel,25-34 years old,Some college/university study without earning a degree
10787,Germany,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10790,Sweden,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10791,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10799,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10808,France,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10810,Ukraine,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10811,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10812,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10814,Netherlands,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10816,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10819,"Iran, Islamic Republic of...",25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10820,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10821,Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10824,Philippines,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10825,Norway,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10826,Canada,25-34 years old,Some college/university study without earning a degree
10828,United States of America,25-34 years old,"Associate degree (A.A., A.S., etc.)"
10829,Hungary,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10831,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10839,Israel,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10843,Germany,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10844,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10847,Ukraine,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10849,Hungary,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10851,Netherlands,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
10854,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10858,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10863,Hungary,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10865,Malawi,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10871,Singapore,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10873,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10874,India,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
10878,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10880,France,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10881,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10882,South Africa,25-34 years old,Some college/university study without earning a degree
10884,Kenya,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
10887,Canada,25-34 years old,Some college/university study without earning a degree
10889,Bangladesh,18-24 years old,Some college/university study without earning a degree
